@relation RatioDataForProject_1102_8

@attribute Working_Capital numeric
@attribute Quick_Ratio numeric
@attribute Accounts_And_Notes_Receivable numeric
@attribute Days_in_Accounts_Receivable numeric
@attribute Inventory_Days numeric
@attribute Revenue_Growth_Year_over_Year numeric
@attribute Sales_5_Year_Average_Growth numeric
@attribute Gross_Margin numeric
@attribute Oper_Margin numeric
@attribute Pretax_Margin numeric
@attribute Return_Com_Eqy numeric
@attribute Normalized_Return_On_Asset numeric
@attribute Cash_From_Operations numeric
@attribute Free_Cash_Flow numeric
@attribute Interest_Coverage_Ratio numeric
@attribute Avg_Com_Eqy_To_Avg_Asset numeric
@attribute Book_Val_Per_Share numeric
@attribute Tot_Debt_To_Tot_Equity numeric
@attribute Lt_Debt_To_Tot_Asset numeric
@attribute Lt_Debt_To_Com_Equity numeric
@attribute Dividend_Indicated_Yield_Net numeric
@attribute Tobin_Q_Ratio numeric
@attribute Invent_Turnover numeric
@attribute Acct_Rcv_Turnover numeric
@attribute Accounts_Payable_Turnover numeric
@attribute RTG_SP_LT_LC_Issuer_Credit {A,B}

@data
3720.356,1.995132,1217.968,51.264456,0,24.717607,17.087096,86.160511,29.69381,29.276718,26.255797,15.213673,2912.853,2734.731,29.140278,58.329304,17.750738,22.239363,12.943578,22.239363,0,6.485272,0,8.219255,11.010205,A
3387.7,1.949217,1174,51.716803,18.205625,9.11417,-1.602945,29.730324,17.436123,17.295667,15.213283,8.578568,1567.9,528.2,10.226361,47.035001,47.821775,38.906288,18.424017,33.73322,2.647333,2.241774,20.048749,7.587083,0,A
-1605,0.243441,484,55.23384,0,1.665657,3.339141,0,37.056896,27.167113,8.453237,2.834496,1449,-61,3.637427,27.929091,31.780113,143.454039,33.353865,120.668524,2.05375,1.56159,0,6.360377,0,A
40456,4.97949,3237,51.134185,273.681852,-0.617633,5.345548,82.191781,43.647424,42.001838,10.139178,12.160933,11177,10513,0,34.97652,22.972265,140.018224,42.762088,135.454221,2.648781,2.255091,1.333665,6.565119,4.315348,A
12906.8,1.318184,6184.9,24.415314,0,6.099714,5.359785,19.772677,5.536687,4.402295,15.749673,4.792072,4184.8,3385.3,6.745873,38.049049,110.424305,75.20611,24.641622,65.58603,1.124016,1.441151,0,13.910857,9.223438,A
7355,0.25171,2360,13.91522,48.321057,-2.434799,-4.783189,5.763793,2.202933,2.645163,10.736137,4.442668,2211,1162,3.861671,44.506597,33.470483,40.778231,16.57283,36.165565,2.686081,1.100382,7.553643,27.080827,21.599639,A
8892,0.369955,10825,39.248678,240.254367,-1.246682,2.320447,18.55191,11.005225,10.757881,0,8.528354,13344,11605,21.868085,0.642791,-2.502241,2698.300971,10.594262,2755.492958,1.930513,2.883923,1.519223,14.77971,7.806617,A
9313,0.888233,15660,120.835698,107.078632,17.969743,0.200934,30.282434,9.691611,8.978927,21.683744,7.529944,5702,3366,8.297552,17.692825,25.035108,253.363359,30.985421,174.103818,2.382107,2.04567,3.40871,3.162223,5.876755,A
2057.7,0.866411,3521.8,66.787331,81.211824,8.572833,1.513014,55.606475,16.482539,16.032996,10.294138,5.396435,3477.8,2858.2,18.569146,53.685998,38.891382,39.905112,22.138714,39.180976,0.604629,1.821037,4.482106,5.925085,5.734904,A
-3841.5,0.604215,3924.9,42.567398,77.570353,11.611245,2.305907,32.968925,13.630173,10.605393,22.123253,4.325824,2199.8,-392.5,4.50617,12.996505,32.195065,418.249517,39.356675,270.906009,1.859588,1.506611,4.692514,6.786284,3.114889,A
3207,1.215857,3072,69.023356,69.138991,5.109489,-5.259735,41.954927,16.378407,15.297432,25.520484,11.224498,1912,1436,12.437811,39.402884,13.387721,53.09008,19.368013,43.519156,2.513279,2.613453,5.279221,5.696288,5.932515,A
20188,2.523507,3851,58.475217,92.246934,-14.093452,25.508566,83.257364,54.100433,51.821351,9.957383,12.97744,11898,11308,12.633274,30.904448,16.722222,163.611531,43.815716,150.645729,3.06926,2.042402,3.956771,5.785509,5.459085,A
-74.633,0.466372,588.262,28.402894,81.178463,1.011333,3.052409,45.832651,16.960329,14.77851,108.27918,16.267147,1249.515,991.84,12.228884,15.356427,5.017579,313.502547,37.110635,225.16524,2.72273,5.144874,4.483948,16.74353,8.537923,A
2739,0.342534,1952,7.200235,71.403347,6.669486,6.23488,34.048204,14.549473,13.575279,354.269279,21.652873,12031,10134,13.863078,6.614092,1.754585,1858.872077,54.497069,1668.982118,1.942526,6.356472,5.0978,47.951735,7.774905,A
7141,0.956047,7215,63.204594,59.069323,3.134701,2.508145,31.970691,17.64198,17.02768,8.636423,11.13569,5966,4935,21.539157,32.276959,23.700176,102.510892,21.1713,72.777263,1.816187,2.648206,6.17918,6.009667,4.588152,A
968.311,1.004027,618.351,24.081012,48.594112,-3.735132,1.907824,21.850656,13.967454,13.947558,19.107741,12.427716,1010.196,788.91,100.959473,70.312682,10.151693,5.061039,3.583763,5.064925,1.78614,2.593714,7.490619,17.169608,16.550825,A
-609,0.026841,903,66.234608,0,2.889531,31.929255,0,51.393389,54.374595,15.368621,2.090614,2085,1728,12.721925,20.366638,29.277003,35.983955,5.45206,25.212716,1.257697,1.309369,0,4.852626,0,A
-647,0.500341,2315,44.887864,50.83939,0.313152,-2.610945,35.889151,18.067802,16.380963,0,15.397381,2929,2144,10.119632,1.77125,-0.16384,787.3807,42.716652,1028.934817,3.441156,3.754586,7.179472,8.234746,4.615356,A
5004,1.108268,1963,48.921741,0,15.970676,11.999517,0,52.988717,52.188525,84.940139,28.18719,5555,5255,43,27.807219,5.059673,97.413793,25.430166,99.195318,0.466374,8.223285,0,7.289109,0,A
12896,1.707061,5987,70.543351,147.45881,0.817906,15.289014,69.769305,22.204787,18.946349,6.269822,5.360165,4684,3616,5.733621,52.77281,37.155389,50.680808,25.93087,46.725158,2.075335,1.649551,2.468486,5.227265,5.103157,A
870,0.786081,4145,118.680444,73.6432,23.964321,-3.805942,55.276623,9.729773,7.763032,10.731986,4.69816,4996,333,3.756173,49.414459,27.372182,47.773673,22.195784,45.343185,4.118812,1.851511,4.95633,3.039432,1.308867,A
1887.755,1.040855,2472.984,59.440287,53.765603,18.896176,2.698002,24.747965,13.161428,11.902044,19.076556,9.147826,1600.287,1352.62,8.80148,36.097106,44.25412,84.511651,28.188867,73.697231,1.657218,1.964541,6.788727,6.140616,7.935142,A
5632,0.763376,3738,45.942413,273.955611,7.730935,-0.176232,63.712258,40.013218,36.833867,0,20.181152,8912,7364,10.485871,-31.037723,-7.664873,0,72.924036,0,5.685764,5.100341,1.332333,9.231166,6.364578,A
3978,0.642896,1324,17.905851,12.399165,5.073785,1.711993,24.74357,13.08979,12.281048,22.388199,8.119146,2745,2202,15.504673,32.930701,37.217544,48.210024,15.392093,47.676403,1.748375,2.430259,29.356815,18.045881,14.532731,A
2274.9,1.710784,1135.5,64.035341,55.265937,7.344162,1.068894,41.579389,16.362714,16.437184,21.749213,15.097257,1034,892.3,13.552493,32.628007,11.722403,69.222105,17.3618,46.681183,1.984416,3.823151,6.60443,5.841146,6.073169,A
204.3,0.509881,1586.5,41.000651,95.572349,11.749906,5.106019,37.482741,13.403728,11.972041,14.179654,6.444572,1418.6,976.2,7.675651,40.081176,48.594272,46.165616,14.900497,37.670098,1.8107,1.974408,3.808633,6.738866,4.098094,A
4508,1.432138,2198,61.08265,203.910842,9.880795,8.574247,65.678239,18.402443,16.578271,11.079764,10.951426,1559,961,9.271255,45.777819,25.294761,72.364729,29.688697,66.124824,1.085764,3.161596,1.789998,6.529795,10.026316,A
-637,0.200212,0,0,61.521634,3.430463,0.871924,28.873524,5.99897,5.072413,27.82843,7.091337,6923,4390,6.322581,29.650661,21.225484,98.958066,29.018693,96.652148,2.887598,1.71301,6.030399,0,6.374371,A
4582,0.893997,5088,63.683548,74.392807,10.055387,12.162656,75.049617,33.994897,27.385172,0,15.322424,9960,9431,8.34087,7.110348,-2.229006,733.137139,43.727573,607.278791,4.104757,3.103212,4.906388,5.810364,0,A
-1243.9,0.237645,482.8,52.669342,47.235986,1.873494,2.67153,55.342676,19.318787,15.75306,11.51992,3.317677,983.4,-483.5,3.0236,28.460612,18.610789,118.353795,28.267949,95.896896,3.068398,1.400031,7.72716,8.323372,3.818025,A
-2448,0.205389,142,2.743023,103.67489,0.811915,1.573971,61.306043,49.020211,50.415512,75.090381,16.498855,4922,4723,12.983696,31.578298,8.374255,90.115449,30.160641,84.736945,5.036198,3.786721,3.520621,147.422053,36.62531,A
